District,Province,Reporting_Period,Beneficiary_Households,Female_Beneficiaries_Pct,Youth_Beneficiaries_Pct,FBO_Count,Rice_IVS_Yield_MT_Ha,Cassava_Yield_MT_Ha,Cocoa_Production_MT,Oil_Palm_Yield_MT,Vegetables_Yield_MT,IVS_Developed_Ha,Feeder_Roads_Rehab_Km,Agro_Processing_Mills,Credit_Disbursed_Million_SLE,Post_Harvest_Loss_Pct,ME_Completion_Pct
Bo,Southern,2025-Q3,18450,44.5,42.0,142,3.9,19.4,4800,12400,3200,2450,64,14,28.4,12.5,88
Kenema,Eastern,2025-Q3,21300,43.0,41.5,168,3.7,17.2,8900,18600,2800,2100,82,19,32.1,13.1,92
Kailahun,Eastern,2025-Q3,19800,45.2,43.8,154,3.5,16.5,11400,15200,2100,1850,75,16,26.2,14.0,86
Port Loko,North Western,2025-Q3,17900,48.0,44.0,136,3.4,22.8,350,9800,4600,1950,58,15,24.5,14.2,84
Tonkolili,Northern,2025-Q3,16200,46.5,43.0,128,3.6,20.1,950,11200,3900,2300,52,11,15.2,13.9,81
Bombali,Northern,2025-Q3,15100,45.0,42.5,115,3.3,18.9,200,8400,4100,1700,48,10,14.8,15.2,83
Kono,Eastern,2025-Q3,13400,42.0,41.0,102,3.2,15.8,6200,7900,2400,1550,44,9,12.5,14.8,79
Kambia,North Western,2025-Q3,14700,47.0,45.0,118,3.8,19.5,0,6200,4800,2600,46,12,11.4,12.8,85
Moyamba,Southern,2025-Q3,16800,46.0,42.0,124,3.5,21.6,450,14500,3100,1900,60,13,18.6,14.5,82
Pujehun,Southern,2025-Q3,15400,44.0,43.5,110,3.6,18.2,3100,21000,2200,1750,55,16,12.3,15.0,80
Bonthe,Southern,2025-Q3,11800,45.5,44.0,88,3.4,16.8,120,13200,1900,1600,38,8,9.8,16.2,78
Koinadugu,Northern,2025-Q3,12900,52.0,46.5,96,2.9,14.5,0,4100,5800,1400,42,7,8.5,17.4,77
Falaba,Northern,2025-Q3,10400,49.0,45.0,78,2.8,13.9,0,3200,4400,1200,35,5,6.4,18.0,74
Karene,North Western,2025-Q3,12200,46.0,43.0,92,3.1,17.6,0,5800,3600,1500,40,7,7.8,16.5,76
Western Area Rural,Western,2025-Q3,9800,54.0,48.0,72,2.6,19.8,0,4800,5100,800,30,12,10.5,13.5,89
Western Area Urban,Western,2025-Q3,6500,56.0,47.0,45,2.1,15.0,0,1200,3500,400,18,15,21.0,11.2,94
